London borough,Income
City of London,902
Barking and Dagenham,479.1
Barnet,536.6
Bexley,513.8
Brent,480.0
Bromley,632.5
Camden,634.7
Croydon,552.0
Ealing,523.0
Enfield,479.1
Greenwich,573.7
Hackney,555.6
Hammersmith and Fulham,681.3
Haringey,548.1
Harrow,538.3
Havering,544.2
Hillingdon,531.9
Hounslow,535.9
Islington,687.6
Kensington and Chelsea,669.3
Kingston upon Thames,627.1
Lambeth,620.4
Lewisham,551.4
Merton,594.8
Newham,479.1
Redbridge,554.7
Richmond upon Thames,678.2
Southwark,589.4
Sutton,541.2
Tower Hamlets,627.9
Waltham Forest,529.2
Wandsworth,689.9
Westminster,766.6
